PROD_ID,AVG_RATING
3edb2dea36022ac971b454e4d02e4e1253be2def,2.71
c2417a673af2d666407bc28666dda833a9bbc266,0.00
045b629f22ea8ed89bc53aad960e2628159d87be,3.85
dd100f7df6f028b226f4a12df6d344942dc8cfee,3.12
3772d28967a76a4a1c7b2c63723b9476647b1247,3.95
57822aca3110159fd6b53809fda3020529ffb44b,3.79
5258043dd1cef1a7fa136a04e52226b107568f55,3.72
ae436cd86487a0c200a77551b405475ce3cc85ae,3.59
7d9226e604b65a94c18bf96305b43e2e1432511a,4.24
74a4a402e7cd4558d832d391a47b4c7385be84e1,3.87
4613558fd8a535bca2426aba897944206527a2b3,3.76
9e0e30a772a2889c7f230af7f0089a78c483cbe0,3.55
b26424a37d87fc2145610d59ec4f17bb4ce89d86,4.61
8210dcb9369b9c54e2b41b1a41fdee6787230645,3.70
d160e0986aca4714714a16f29ec605af90be704d,3.00
aaeb917301c9f15c6d8e03738322c3309b44384a,3.03
81c9ce966abe1c99667bb279373573601bbeddea,3.94
46d6986059cd979a65ccebb6e3cca8790e835055,3.62
cf7503f84eee3dd4a8392bc2d6ca71506cba7fa7,3.08
e93a6aa5755a1a0ef53d22aaefa48deaabcbeae3,3.50
17f627528061eda31c9a684fa003699081496151,4.74
2eab70816e3a0e8e3c22e269d12419b203c4d9ff,3.24
2eefc2e59c2cfd5a16dd39cc281de0e8909298da,4.44
898a9dd0bd754acc88fbb91b9278e9351b5030a3,4.05
70bfaddd0d61bbee5bc2aac5ec2fbdd4bc67f59a,3.13
286a7d6ff0efb315f44f4a66a5540eee8e14eb55,3.46
0e914b17b85b0976d1f0acf8390c5ea1d68320b1,4.00
97c5a3fde49b543829a01622913e6381fe218921,2.77
44e855e1cbe9a24e3915d0ccb5426e7feb96f04f,4.18
0cd93910b4cf66bae0cc42da52cebce37c248837,2.67
3db459dae264949878ebfeb85aa09cd783f63d3d,3.32
e0fc5203f535c4fa647114fce89ded77181021a4,2.90
db1ac6f4282dd0171e06854de54c9de5f5c62cbb,0.00
401ecc3dbbe3d5476de35cac81c31a75884a0a2e,4.57
a2dd6e64a28122dbed79479df93ad4c3113a4e4c,2.62
3ded5ce6d0fd302fb9a109dd237cf18975a49b7b,4.13
751c9f4c9b4caaefca0f6227356fc325db2cf94b,3.96
0027fc61e97a1858f824228b5d7b7a70a2c81615,3.00
ed30f9a48e5eb7e6c592ef323527b26ec6664768,3.11
2f5e3b0aa6f1b6b27ba7c8ec24f222439a31aa71,3.73
dac796b2da9883c52138b1444712141e1b781db6,3.93
